Time,Reference number,Author(s):,Type of Research:,"Publisher (e.g. ADB, UNESCO, journal name):",Publication year:,Publication language:,Country or countries studied,Region(s) studied:,Levels of education discussed,Research approach:,Research Methods,Theoretical Framework,How is private tutoring framed in the publication?,What is taught during private tutoring?,Where does private tutoring occur?,Does the teacher charge for private tutoring?,How large are the tutoring classes?,How large is the tutoring operation?,Why are students taking private tutoring?,Reviewer Name,Reviewer Name,Type of Publication:,Who provides tutoring services?,How is private tutoring viewed in the article?,Additional important details:,What data set was used?,Data drawn from the following stakeholders:,"If previous answer was equity, then please define equity concern here",Was data set used?
2/23/2014 15:47:38,11,,Original empirical research,Social orces,2010,English,United States,U.S. & Canada,"Secondary, Tertiary",Single-country / case,Quantitative,Human Rights,"Related to curriculum coverage / ed. quality / exam prep, Equity",Subjects taught in school,"Designated tutoring center or franchise, On-line / via web, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)",Both,Various class sizes discussed,Various,Preparation for exams to make student more competitive,,Iveta,Journal Article,Not defined,Raises concerns,"Examines a difference between private and public (tuition-free) tutoring (eg., in libraries, self-help, etc.) and concludes that private tutoring is more effective in preparing for tests and therefore less affordable to low-income, African American families. It therefore contributes to racial inequalities.",National Education Longitudinal Study (NESL),Students,race,Yes
2/23/2014 16:07:47,12,,Original empirical research,American Journal of Sociology,1992,English,Japan,East Asia,Secondary,Single-country / case,Quantitative,"Social Capital, Allocation theory of education (Bourdieu and Passeron, 1977)",Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,"Designated tutoring center or franchise, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,"Small firm, Large firm",Preparation for exams to make student more competitive,,Iveta,Journal Article,Institution / Professional tutor,Addresses both benefits and concerns,,Longitudinal survey of high school students in Japan conducted by the Youth Research Institute in Tokyo in 1980 and 1982,Students,,Yes
6/4/2013 20:50:04,13,,Original empirical research,Educational Policy,1999,English,United States,U.S. & Canada,Tertiary,Single-case,Qualitative,Human Rights,Efficency,Subjects taught in school,"Designated tutoring center or franchise, Workplace",Not defined,Unclear,Various,,,Mike,Journal Article,Professional tutor,Raises concerns,Focused on employer provided ed,,,,
2/19/2014 10:20:04,14,,Review of other research,Asia Pacific Education Review,2010,English,,Global / Worldwide,"Primary, Secondary",Comparative,Qualitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Supply & Demand / Economic Efficiency, Global Trend, Corruption",Subjects taught in school,"On school grounds, Designated tutoring center or franchise, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Peggy,Journal Article,"Current classroom teacher, Other K-12 teachers, Retired teacher, College student, Professional tutor, University professor",Addresses both benefits and concerns,"The article discusses methodological challenges and the need for better comparative data

""the shadow appears to have expanded and become denser"" (14, 13) ",,N/A [documents],,No
6/6/2013 7:57:08,15,,Original empirical research,Sociology of Education,2012,English,"US, Korea, Japan","U.S. & Canada, East Asia",Secondary,Comparative,Quantitative,Social Capital,"Related to curriculum coverage / ed. quality / exam prep, racial differences East Asian youth versus other",Subjects taught in school,"Designated tutoring center or franchise, Outside school (e.g. at the teacher's home), In the student's home","Yes, they charge a fee",Various class sizes discussed,"Individual operator, Large firm","Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Peggy,Journal Article,Professional tutor,Discusses benefits,,Educational Longitudinal Study of 2002-2006 conducted by the National Center for Education Statistics--Sample of US high school sophomores in 2002 through their senior years in 2004 and beyond (2006),Students,,Yes
6/6/2013 7:06:44,16,,Original empirical research,Asian Pacific Education Review,2010,English,Korea,East Asia,Secondary,Single-case,Quantitative,"None or Unclear, family expenditure",Equity,Subjects taught in school,"Designated tutoring center or franchise, On-line / via web, Outside school (e.g. at the teacher's home), In the student's home","Yes, they charge a fee",Various class sizes discussed,Various,Preparation for exams to make student more competitive,,Peggy,Journal Article,Professional tutor,Addresses both benefits and concerns,"The study was conducted to evaluate if South Korea's HSEP (high school equalization policy) helps to eliminate shadow education.  Larger question of the study was to consider how policymakers can respond to growing shadow education system.

""The results of this study show that the HSEP
to some extent contributes to reduce household expenditures
on shadow education, particularly benefiting lower
income families, suggesting that the government interventions
and educational policies may help to bridge the
gap in shadow education opportunities"" p.94","2005-2007 waves of the Korean Education Longitudinal Study (KELS), conducted by the Korean Educational Research Institute (KEDI), seventh graders in base year 2005, N=6,908",,,Yes
1/28/2014 11:44:45,17,,Original empirical research,Asia Pacific Education Review,2010,English,Japan,East Asia,"Primary, Secondary",Single-country / case,Qualitative,None or Unclear to us,Supply & Demand / Economic Efficiency,Subjects taught in school,Designated tutoring center or franchise,"Yes, they charge a fee",Various class sizes discussed,Small firm,"Preparation for exams to make student more competitive, For cultural reasons",,Peggy,Journal Article,"College student, Parent or family member",Discusses benefits,,,"Teachers who tutor, Juku operators",,No
2/23/2014 15:56:23,18,,Review of other research,Social Forces,2010,English,United States,U.S. & Canada,"Secondary, Tertiary",Single-country / case,Qualitative,None or Unclear to us,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,"Designated tutoring center or franchise, On-line / via web, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,Preparation for exams to make student more competitive,,Iveta,Journal Article,Not defined,Addresses both benefits and concerns,"critiques the use of the definition of private tutoring by Buchmann et al. and argues that ""private"" should be more narrowly defined and not include anything that happens in the public space (e.g., library)",,Students,,No
6/4/2013 10:53:26,21,,Original empirical research,Asia Pacific Education Review,2010,English,Japan,"East Asia, Global / Worldwide","Primary, Secondary",Single-case,Qualitative,World Culture,"Related to curriculum coverage / ed. quality / exam prep, perceived failure of public system/ Global trend",Subjects taught in school,Designated tutoring center or franchise,"Yes, they charge a fee",Various class sizes discussed,Various,"Make up for perceived failure in the mainstream system / school, Preparation for exams to make student more competitive",,Iveta,Journal Article,Not defined,Discusses benefits,"shadow education provides more opportunities for learning in a
world where more learning is demanded by an ever more
complex job market. It is an easy step from here to assume
that shadow education serves a valuable collective purpose
and even helps to meet unmet demand for more education,
as public education seems to lag behind. (21, 39)   The practice of
shadow education spreads worldwide because the schooled
society spreads worldwide; the use of shadow education is
motivated by the dominant logic of educational expansion
in all its forms. p.40",,N/A,,No
2/21/2014 6:22:45,24,,"Original empirical research, Review of other research",World Bank and UNICEF,1996,English,,East Asia,"Primary, Secondary",Comparative,Mixed-methods,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Corruption, Equity, Household Expenditures, Global Trend",Both,"On school grounds, Designated tutoring center or franchise, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Teacher pressure",,Mike,Report,"Current classroom teacher, Other K-12 teachers, Institution / Professional tutor",Raises concerns,,"World Bank data, survey of UNICEF officers","Policymakers, UNICEF officers",Increased burden on poorest families,Yes
6/18/2013 20:50:03,26,,Review of other research,Journal of Curriculum Studies,1994,English,Japan,East Asia,"Primary, Secondary",Single-country / case,Qualitative,None or Unclear,Supply & Demand / Economic Efficiency,Subjects taught in school,Designated tutoring center or franchise,"Yes, they charge a fee",,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Mike,Journal Article,Institution / Professional tutor,Addresses both benefits and concerns,,,N/A,,No
6/18/2013 21:03:12,27,,Original empirical research,Educational Studies in Mathematics,1987,English,Kuwait,Middle East & North Africa,"Primary, Secondary",Single-country / case,Quantitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity, Social Cohesion",Subjects taught in school,"Designated tutoring center or franchise, In the student's home","Yes, they charge a fee",Unclear,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Mike,Journal Article,Institution / Professional tutor,Raises concerns,,Survey conducted by author,Students,Income disparity & ability to pay for tutoring ,Yes
2/21/2014 7:08:50,30,,Original empirical research,Journal of Asia Pacific Communication,1991,English,Singapore,Southeast Asia,"Primary, Secondary",Single-country / case,Quantitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity, Household expendures",Both,"In the student's home, Other outside school (e.g. teacher's home, coffee shop, library), Tutoring Center","Yes, they charge a fee",Various class sizes discussed,Various,"Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, peer presure",,Mike,Journal Article,Institution / Professional tutor,Addresses both benefits and concerns,,,Students,"Rich vs poor, English spoken in the home vs homes without English ",No
6/6/2013 0:22:36,34,Aurini,Original empirical research,Canadian Review of Sociology,2004,English,Canada,U.S. & Canada,"Primary, Secondary",Single-case,Qualitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity, Commercialization/privatization of education",Subjects taught in school,Designated tutoring center or franchise,"Yes, they charge a fee",Various class sizes discussed,Large firm,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Olga,Journal Article,Professional tutor,Raises concerns,,,,,
5/30/2013 22:48:43,36,,Review of other research,"International Review of Education, the Netherlands",2002,English,,"East Asia, South Asia",Primary,Comparative,Qualitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity, Global Trend",Subjects taught in school,"Outside school (e.g. at the teacher's home), In the student's home",Both,Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, Socializing effect (if you pay, both girls and boys can study together)",,Olga,Journal Article,"Classroom teacher, Other K-12 teachers",Addresses both benefits and concerns,,,,,
2/23/2014 16:18:30,37,,Review of other research,London Review of Education,2004,English,UK,Western Europe,"Primary, Secondary",Single-country / case,Qualitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity",Subjects taught in school,"Designated tutoring center or franchise, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Small groups,"Individual operator, Small firm","Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, For cultural reasons",,Iveta,Journal Article,Not defined,Addresses both benefits and concerns,,,N/A [documents],SES,No
1/27/2014 11:10:28,39,,Original empirical research,Asia Pacific Education Review,2004,English,"Hong Kong, Macao, Korea, Japan, and Taiwan",East Asia,"Primary, Secondary",Comparative,Qualitative,Cultural model,"Related to curriculum coverage / ed. quality / exam prep, cultural and socio-cultural",Subjects taught in school,Designated tutoring center or franchise,"Yes, they charge a fee",Various class sizes discussed,"Small firm, Large firm","Preparation for exams to make student more competitive, For cultural reasons, ""insufficient free academic guidance from daytime schooling or from elder family members"" p.67",,Peggy,Journal Article,"Current classroom teacher, Other K-12 teachers, Retired teacher, Institution / Professional tutor",Raises concerns,,,"Teachers who tutor, Tutors who are not teachers, Parents / household, Students, Policymakers, principals, academic scholars,principals, and tutorial school heads ",,No
5/31/2013 0:49:43,41,,,European Journal of Psychology of Education,2002,English,Luxembourg,Western Europe,Secondary,Single-case,Quantitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Global Trend",Subjects taught in school,Outside school (e.g. at the teacher's home),"Yes, they charge a fee",Small groups,"Various, 5 private tutoring institutions in Bavaria",Student falls behind and needs extra help (Remediation),,Olga,Journal Article,Professional tutor,Discusses benefits,,,,,
6/5/2013 23:43:07,41,Lee,Policy analysis,KEDI Journal of Educational Policy,2005,English,South Korea,East Asia,"Pre-primary, Primary, Secondary",Single-case,Qualitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity",Subjects taught in school,"Designated tutoring center or franchise, Outside school (e.g. at the teacher's home), In the student's home","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Olga,Journal Article,Professional tutor,Addresses both benefits and concerns,,,,,
2/23/2014 16:56:05,42,,Original empirical research,International Journal of Educational Development,2006,English,Romania,Eastern Europe,"Primary, Secondary",Single-country / case,Qualitative,teacher professionalism (critical theory),"Related to curriculum coverage / ed. quality / exam prep, teacher status ",Subjects taught in school,Not defined,"Yes, they charge a fee",Various class sizes discussed,Individual operator,Not stated or unclear,,Iveta,Journal Article,"Current classroom teacher, Other K-12 teachers, Retired teacher",Addresses both benefits and concerns,Article discusses private tutoring from the standpoint of teachers who find private tutoring space as the only space where they can regain their professional authority and status in the context of accountability reforms during the post-socialist transformations.,,"Teachers who do not tutor, Teachers who tutor",,No
6/3/2013 16:02:32,43,,Original empirical research,Economics of Education Review,2006,English,Turkey,Eastern Europe,"Primary, Secondary",Single-case,Quantitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity, Household Expenditures

",Subjects taught in school,"On school grounds, Outside school (e.g. at the teacher's home), In the student's home","Yes, they charge a fee",Various class sizes discussed,Various,Preparation for exams to make student more competitive,,Iveta,Journal Article,"Classroom teacher, Other K-12 teachers, Professional tutor, University professor",Addresses both benefits and concerns,,Household Expenditure Survey (1994),Parents / household,,Yes
6/6/2013 0:51:34,46,,"Review of other research, Policy analysis","Sociological Forum, Springer",2006,English,Canada,U.S. & Canada,"Primary, Secondary",Single-case,Qualitative,Institutional theory,"Related to curriculum coverage / ed. quality / exam prep, Equity",Subjects taught in school,Designated tutoring center or franchise,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Olga,Journal Article,Professional tutor,Raises concerns,,,,,
5/25/2013 21:45:54,47,,Original empirical research,JERO,2014,English,Cambodia,Southeast Asia,Primary,Single-case,Mixed-methods,critical theory,"Related to curriculum coverage / ed. quality / exam prep, Corruption, Equity, resistance to Western reforms",Subjects taught in school,On school grounds,Both,Various class sizes discussed,Individual operator,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Iveta,Journal Article,Classroom teacher,Addresses both benefits and concerns,,,Students,"rural/urban, gender, SES",No
5/25/2013 21:25:46,48,,Original empirical research,World Yearbook of Education,2013,English,Cambodia,"Central Asia, Southeast Asia, Eastern Europe","Primary, Secondary",Comparative,Qualitative,Critical theory,"Equity, site of resistance to global reforms",Both,"On school grounds, Outside school (e.g. at the teacher's home), In the student's home",Both,Various class sizes discussed,Various,Make up for perceived failure in the mainstream system / school,,Iveta,Book Chapter,"Classroom teacher, Other K-12 teachers",Addresses both benefits and concerns,,,Students,"SES, gender, rural/urban",No
6/3/2013 17:06:18,49,,Review of other research,"UNESCO, IIEP",2009,English,,Global / Worldwide,"Primary, Secondary",Comparative,Qualitative,Human Capital,"Related to curriculum coverage / ed. quality / exam prep, Corruption, Equity, Global Trend",Subjects taught in school,"On school grounds, Outside school (e.g. at the teacher's home), In the student's home, On-line / via web","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Iveta,Book,"Classroom teacher, Other K-12 teachers, Community member / volunteer, Professional tutor, University professor",Addresses both benefits and concerns,,,N/A,"Gender, SES, rural/urban",No
2/19/2014 10:03:05,50,,"Original empirical research, Review of other research",Asia Pacific Education Review,2010,English,"Japan, South Korea, and Cambodia","East Asia, Southeast Asia","Primary, Secondary",Comparative,Qualitative,systems theory,"Related to curriculum coverage / ed. quality / exam prep, Corruption, Equity",Subjects taught in school,"On school grounds, Outside school (e.g. at the teacher's home), In the student's home","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons, Teacher pressure",,Peggy,Journal Article,"Current classroom teacher, Other K-12 teachers, Institution / Professional tutor",Raises concerns,"""private tutoring systems function as parasitic systems"" (50)

""the private tutoring system is a potentially illusory prey which hides itself with shadows, smoke, and mirrors. Its precarious position between the education system and the economic system forces it to feed on a self-supporting discourse of ""educational anxiety"" and support technologies of control such as examinations and pedagogies which increase anxiety for its own survival as a fuan sangyo (Japanese) or ""insecurity industry"" (50)",Some information drawn from 72 teachers interviewed and 198 parents surveyed in Cambodia by author,"Teachers who do not tutor, Teachers who tutor, Parents/houeholds","""private tutoring systems are necessary to challenge the myths of equality and education and to problematize the past and future miracles of East Asian economic development..."" p.22",No
6/5/2013 22:05:50,51,Dang,"Original empirical research, Review of other research",The World Bank research observer,2008,English,,"Global / Worldwide, ""Developing countries""","Pre-primary, Primary, Secondary",Comparative,,"Human Capital, Economic theory","Related to curriculum coverage / ed. quality / exam prep, Corruption, Equity, Efficency, Global Trend",Subjects taught in school,Outside school (e.g. at the teacher's home),"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Olga,Journal Article,"Classroom teacher, Other K-12 teachers, Community member / volunteer, Professional tutor, University professor",Addresses both benefits and concerns,,,,,
6/4/2013 19:48:31,52,,Original empirical research,Economic Development and Cultural Change,2010,English,South Korea,East Asia,Secondary,Single-case,Quantitative,Human Capital,"Related to curriculum coverage / ed. quality / exam prep, Efficency, Response to market demand",Subjects taught in school,"Designated tutoring center or franchise, On-line / via web","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Mike,Journal Article,Not defined,Addresses both benefits and concerns,,,,,
2/23/2014 17:06:57,53,,"Review of other research, Policy analysis",European Commission,2011,English,,"Western Europe, Eastern Europe","Primary, Secondary",Comparative,Qualitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Corruption, Equity, Supply & Demand / Economic Efficiency, Global Trend",Subjects taught in school,"On school grounds, Designated tutoring center or franchise, On-line / via web, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, Peer pressure, Teacher pressure",,Iveta,Report,"Current classroom teacher, Other K-12 teachers, Retired teacher, University faculty, Institution / Professional tutor, College student, Peer/classmate",Addresses both benefits and concerns,,,N/A [documents],,No
5/25/2013 21:31:48,54,,Original empirical research,OSI,2006,English,"Azerbaijan, Georgia, Ukraine, Croatia, Lithuania, B&H, Mongolia, Poland, Slovakia","Eastern Europe, Central Asia",,Comparative,Mixed-methods,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Corruption, Equity",Subjects taught in school,"On school grounds, Outside school (e.g. at the teacher's home), In the student's home","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Iveta,Book,"Classroom teacher, Other K-12 teachers, Professional tutor, University professor",Addresses both benefits and concerns,,"OSI student survey (12,000 students surveyed in 12 countries)",Students,"SES, rural/urban, gender",Yes
2/23/2014 21:20:50,55,,Original empirical research,European Sociological Review,2011,English,Poland,Eastern Europe,Secondary,Single-country / case,Quantitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity",Subjects taught in school,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive",,Iveta,Journal Article,Not defined,Addresses both benefits and concerns,,PISA,Students,gender equity,Yes
